episode_number,total_reward,collisions,trajectory_distance,goal_distance
1,-772.0950942710042,64,5.840281200989739,25.72877719035917
2,-426.8131130039692,29,7.425958670819803,26.251629093820718
3,-436.04364767100196,31,7.33927986235782,26.510354747427506
4,-49.266185004264116,0,9.285343260535868,21.90983190847362
5,-367.429643034935,0,4.013829030781091,26.815720172844717
6,-216.37940575438552,0,5.133772100091485,25.551301723568073
7,-174.59402406215668,0,8.525743764155704,27.580030724216723
8,-384.64439684152603,17,7.4492944600671045,26.336894829499723
9,117.48746176296845,0,11.49367708811877,22.566835500161226
10,-90.37815383076668,0,7.876603179929731,23.298779479453437
11,-609.1960162278265,42,5.836272375125103,25.85132488972624
12,-600.924937363714,50,5.942654544096907,25.626611737655175
13,-768.9697067555971,68,6.05886137913914,25.449142980446577
14,-375.29594445228577,0,14.057212630204056,33.95985215999739
15,-520.4111150465906,40,5.7540303235143115,25.826320471067493
16,-389.28746035695076,24,16.59198242766622,25.48943003867548
17,-341.3464782980809,24,5.7777091445006326,25.800286910089614
18,-625.6575610637665,46,16.337821927501395,26.02657149338386
19,-565.1184167638421,51,6.676455293961845,24.972964770126175
20,-201.22103919973597,0,19.059003224648535,23.531467260841247
21,-301.7301405966282,0,5.477271336078332,26.424246595397495
22,-382.0768733052537,26,6.269565299948387,25.615130541846927
23,-101.53831795044243,0,18.56813294172541,23.6763283991122
24,-373.7154349088669,0,2.6037583103565725,27.810534347968
25,-190.20366221666336,0,8.059217778804754,27.274243894453683
26,-300.79379507899284,0,5.0213591394395145,26.088917466024032
27,-610.307634525001,45,5.8724049301650885,25.346047480181817
28,-285.89150040689856,0,6.377167387330251,24.512995155016817
29,69.74146462662611,0,10.540392996201652,21.348309793334057
30,254.65782709792256,0,34.101138775349085,16.37849329269229
31,-193.6656295247376,2,6.578228572885038,25.57673108886252
32,-591.6011478900909,43,16.257600679693198,25.960861908007715
33,-622.0524135380983,49,16.45279668333151,25.36933831128429
34,-253.81195962429047,0,6.470026337365734,27.748573675757093
35,-211.62154372036457,0,6.644521296406762,26.234420282658622
36,-170.40079724229872,1,9.43264791285658,25.675687149638247
37,-222.68552833795547,0,18.37668897447798,26.734346097254274
38,-883.0432512573898,83,5.754871021056867,25.721001182033103
39,-387.40534785040654,21,5.9635926726839275,25.549319343554608
40,-258.8268048763275,0,17.8940866316368,28.01527882155645
41,-267.4106592461467,8,5.691522269223675,25.93941480669313
42,-221.28938752412796,0,7.543217774536852,27.77459953577396
43,-263.38756135106087,16,18.88721333284512,25.77412553211395
44,-184.12048177421093,0,5.980475470373194,25.98102499234297
45,-155.49178492929786,0,7.657780388786584,23.850809274272287
46,-330.6925756931305,0,3.1858620694891897,27.30786473135162
47,-549.1087589021772,39,11.964701102256528,25.42442814976322
48,-224.61550994752906,0,7.422811395542445,25.920243713507816
49,-227.17595303058624,0,6.761586355602629,28.166520596286727
50,-235.70285621657968,0,7.340301591289079,24.11993719145113
51,-397.3367519378662,0,8.187766964599998,27.509972994874584
52,140.75646994262934,0,14.331431694845811,16.44487076514342
53,-442.32627402991056,33,6.11037987637216,25.931472303904524
54,-234.20277576893568,0,16.520763326185193,25.23056660001077
55,-688.4747501313686,52,16.550105472781315,25.368035746426013
56,-759.8366394182667,71,6.266643694377417,25.26958923791373
57,-325.5691303163767,45,10.746314648682075,21.979867631253487
58,-377.73520194739103,21,5.8009220896301406,25.962859932063576
59,-481.1400586217642,43,8.589800286342776,23.59869547203326
60,-224.17229801416397,0,7.77335407275348,27.10836595089284
61,-566.3074272274971,41,6.147348363189356,25.131930737007313
62,-510.07731011509895,38,6.448551650913874,25.263253991045094
63,-433.1433381065726,28,5.903818152576288,25.476785704598903
64,-522.2392282159999,55,8.327204745726615,23.67333094557098
65,-298.85848277807236,0,3.6098904425597453,26.88693949768992
66,-238.8472679257393,0,14.328213832698523,26.815732226661765
67,8.914957590401173,0,10.40472037708968,22.60767903710729
68,-13.999425176531076,0,29.16664858310592,21.490780366982836
69,362.8420577161014,0,20.79139511852392,13.524563695169277
70,-298.4115493968129,7,6.019860009615457,25.786338436385616
71,-201.99527167528868,0,10.040225397812398,22.17695148884252
72,-56.40101584419608,0,12.561040720973049,18.411972079371505
73,-129.6522150784731,1,7.48936750442022,24.188943192707285
74,-293.10810229182243,7,5.790141989358909,26.025242309836813
75,-428.10659313201904,20,5.743559241967536,26.07305270144861
76,-171.35894161462784,0,8.260601628726443,26.98532936273374
77,-359.8491692095995,18,7.679057716801337,26.253712755781176
78,-488.46039960347116,36,19.54128976008681,25.074434131274067
79,-372.21949288249016,32,18.47955015837527,24.36460980053685
80,-668.0816475898027,58,5.717888006021487,26.069822176836343
81,-605.8151214160025,53,7.877432755829526,23.827109390104198
82,-452.67435432970524,32,20.609685699945377,25.676230269160282
83,57.28734143823385,19,12.448733855488165,20.14523549009569
84,-262.02596628665924,0,15.295121625197023,32.48438548571402
85,-799.2376380190253,72,5.869563269839428,25.54297467767842
86,-691.4118973016739,58,5.640228507044695,26.011165761715603
87,-133.16039637476206,0,12.22481773136384,19.12737162030764
88,-387.3039547544904,31,29.253335173876785,25.464003461485063
89,-220.4835135936737,0,17.681768060776918,27.777809705279104
90,-472.8344163149595,25,5.768603069372197,25.95053070467931
91,-285.78517639636993,0,13.658383412404916,27.805527214363387
92,-202.24517805874348,0,5.540277074321139,25.97528290162542
93,-429.155187420547,27,5.956615164745569,25.44818578506073
94,-225.0719538370613,5,7.918809622971782,25.537432100223064
95,-283.10213643312454,0,15.587789720802668,26.65745080691049
96,162.11894830316305,1,15.892160892935353,17.95534442035264
97,-106.71212777495384,0,36.47456831509742,27.313167247179223
98,-115.90365051990375,0,10.197438361963684,22.30372086392877
99,-514.3060338608921,46,6.448039313541588,25.027578352889982
100,-396.8570669647306,23,5.815513824398019,25.57286580085364
