episode_number,total_reward,collisions,trajectory_distance,goal_distance
1,-2019.2025260925293,95,30.892082270201694,44.134735299409414
2,-2169.6536107063293,91,65.29256292683654,46.97974742933088
3,-2011.9707508087158,90,66.45771103101755,43.15089245022276
4,-1988.096956729889,87,33.01948766698988,46.921389763604374
5,-1767.4613766670227,87,19.753178577989313,36.9422708608093
6,-1916.454894065857,89,28.64819515580585,42.64812510269653
7,-1856.3988389968872,96,17.809031311304853,36.895763169049516
8,-1706.258231639862,82,19.278757662430515,36.87837556112049
9,-1945.348307132721,81,39.352552651142986,50.06656017319316
10,-1978.880066394806,89,37.37722056717125,45.76132814486281
11,-1720.442668914795,84,23.220779373663195,37.05966236256748
12,-2009.350552558899,93,27.71170452068866,44.94053860545466
13,-1851.5962862968445,96,17.28515378255772,36.84507370273578
14,-2036.1895632743835,90,28.76961718641046,47.04804623352535
15,-1745.9286375045776,86,22.642093782622243,37.57483381712035
16,-1907.5159091949463,94,45.41488688600814,36.93358838977601
17,-1887.5187587738037,91,27.618241963300346,41.09446872188082
18,-1742.8722105026245,86,22.71356894281206,36.86926302777878
19,-1767.5838503837585,88,20.66105220719504,36.87503720753729
20,-1694.269214630127,81,23.378100200632126,36.86938624564409
21,-1897.4790844917297,87,33.71395680878905,43.691964439158355
22,-1964.9094862937927,84,32.624133803253805,46.99942214334394
23,-2214.5600740909576,93,70.98928624977343,47.412669900296734
24,-1772.4613318443298,74,42.331029735477586,43.424672527697886
25,-2035.7008810043335,83,64.01222642591512,46.784778931085675
26,-1879.8428540229797,85,33.0375916636819,44.09012523653158
27,-1831.6354360580444,94,17.396166806872333,36.8399312885741
28,-1664.172688961029,76,30.78556827953152,41.2567265034436
29,-1878.8635516166687,87,32.1753728122494,42.70875136311306
30,-1878.3692507743835,84,32.181360687596765,44.32882622318763
31,-1961.747205734253,82,32.95405199670082,50.20831262860072
32,-1736.1583819389343,93,72.5331848891581,36.90037295854463
33,-1762.5070524215698,87,18.458442791527524,36.94246833185382
34,-1827.4812064170837,82,25.673489323608344,41.65192419037309
35,-2089.0758953094482,86,60.014298106220316,46.992516873779074
36,-1816.1648383140564,92,20.30983614449457,37.68950557320601
37,-1743.420513868332,86,27.969657181092114,38.03723930267729
38,-1897.0311303138733,90,28.264302218482364,41.80382744342526
39,-1741.1325135231018,86,17.8445261790887,36.9433194632525
40,-1883.5761442184448,89,42.267147581508695,36.941332646625966
41,-1998.3892579078674,92,28.3262108485217,44.63196877675277
42,-1799.8700919151306,91,22.1502179579857,37.53543190420244
43,-1506.8508939743042,64,48.35750618170448,21.897665044399044
44,-1737.013247013092,86,22.273691512147824,37.171915924399244
45,-2004.6821494102478,89,32.93044442728592,46.83397855224587
46,-1722.5607361793518,84,21.828469387244517,37.060703338765656
47,-2048.782476902008,88,62.44439526890363,46.34585714098156
48,-1796.8757154941559,92,55.68564653260262,36.846750696209554
49,-1988.1515293121338,90,29.295221463587435,45.34697303331905
50,-1253.525859117508,93,13.926633548702807,20.22614831993972
51,-1928.6261811256409,96,21.631674671565204,40.42457035684509
52,-1815.820324897766,78,40.966049713360526,44.391447444098944
53,-1851.5681476593018,84,32.25320300713623,43.02908521934722
54,-1741.3437929153442,85,59.00526912960686,36.958884786378995
55,-1907.1969757080078,91,26.210271299078258,41.48173871668765
56,-1835.1749205589294,94,17.750923123986755,36.89494199093332
57,-1920.0168805122375,84,34.225032659550145,46.34609570724658
58,-1805.8765015602112,92,18.249606381861675,36.93726000824748
59,-1932.3110842704773,89,58.033178918396345,40.65121455919275
60,-1762.8573198318481,88,21.866392610593703,36.936530468445135
61,-2037.9055256843567,94,27.141222263644103,45.272342279502865
62,-1798.8197202682495,91,21.12453477237119,37.314883220001846
63,-1895.2299780845642,93,46.59062526909959,36.87501308265627
64,-1806.6057615280151,92,19.172023499158275,36.90401689819288
65,-1957.6829552650452,89,36.44310234833871,45.291797247508505
66,-2011.3131465911865,92,27.76359761455342,45.28389634124915
67,-1790.8806920051575,90,21.002718606582537,37.68154689533303
68,-1832.3430891036987,87,35.676121015663014,41.376825005860724
69,-2063.9466371536255,89,61.8502054155262,44.91778655304596
70,-1673.0238270759583,78,18.864219256455343,37.04772240904387
71,-1979.0209012031555,88,38.173129265909466,46.37683746887641
72,-2042.2836472988129,90,64.30225688967572,43.55603020963271
73,-1981.8363909721375,86,33.550110271752985,48.10844305726452
74,-2045.285743713379,88,38.902440870161335,48.95583549374781
75,-2010.0425415039062,89,39.029701299776484,46.87487655560325
76,-1978.3460021018982,87,71.01284488407585,43.25956303706682
77,-1929.7050580978394,86,31.498808441966062,44.66598073602975
78,-1824.6940641403198,93,17.373404486072687,36.967288189489764
79,-1870.1487982273102,84,40.64553079271079,44.60292415704474
80,-1706.3240571022034,82,19.011945807170115,37.097199408455474
81,-2083.5962109565735,92,33.56520111370508,48.31197125656141
82,-1803.656753540039,91,18.862632194603737,37.24030365891314
83,-1766.7433366775513,87,19.38074118188334,36.725830445765375
84,-2013.4469532966614,86,56.55822742377113,45.667418710286604
85,-2031.777163028717,86,37.26821694871761,49.341161774171056
86,-1625.6315207481384,73,23.72799938849736,36.61945142743764
87,-1415.6276168823242,56,34.23869879247946,36.2052895268732
88,-1745.5246238708496,84,30.663183080610715,39.26540247369925
89,-1747.444932937622,86,21.31568212567997,36.84572026086032
90,-1661.1632299423218,71,51.30285311408236,36.46546183761207
91,-1761.4974603652954,76,31.988164237576516,42.92203978684869
92,-2119.0628714561462,89,64.82994990157717,47.18208985260229
93,-1758.9811310768127,76,29.381504839199952,45.12486097762592
94,-2022.8097167015076,90,31.528542617922643,46.948934708220385
95,-2091.7051339149475,91,35.26653378274964,49.054202097933455
96,-1807.842912197113,92,21.878814665853643,36.84990073044638
97,-1296.5015206336975,88,37.4480027619585,23.91489283184857
98,-1223.9366652965546,40,32.068660969762725,36.54368487493221
99,-1871.3899202346802,87,29.53221270639276,42.17146966608962
100,-1510.9622902870178,95,18.914851141873644,28.644593102174763
