episode_number,total_reward,collisions,trajectory_distance,goal_distance
1,-31.035328038968146,18,19.327415848345847,32.78927157624535
2,-4.867742768663447,13,48.97642180727831,40.04430876887302
3,-4.176732737571001,23,13.160758914429632,27.28176366731052
4,-2.9905781652778387,14,14.775841314225747,27.0039125580378
5,-3.3698655616790347,14,26.206591495229027,26.78980514596334
6,-3.130495819670614,4,22.11587213699831,26.659222199205256
7,-4.116777651724988,9,53.41926948647519,47.02869455052195
8,-1.8781769825145602,1,17.58102293387107,35.05248089209232
9,-4.805623585561989,22,41.168391183906884,36.04310921065874
10,-2.325160945591051,5,55.99002888218428,36.070040044686294
11,-3.0360239951405674,0,62.06884697242004,25.053633832246902
12,-4.31054687127471,23,18.250544829843477,26.51885487668374
13,-3.9927447983063757,11,11.062921025582737,35.28152446200792
14,-4.6523673250922,10,16.562652197058117,28.1027351120177
15,-2.5110990391094674,0,13.849674708956892,28.842512086549796
16,-4.2489812122657895,13,43.1316766044391,38.43227283918431
17,-3.1849315093313635,0,45.912620555175785,34.307180615819085
18,-1.6071859030344058,0,44.54913833933006,33.850609973195915
19,-4.890300802187994,21,13.331899108870493,27.638926369437208
20,-6.388984068180434,20,49.49552024954483,39.57033321886362
21,-8.588448316848371,36,29.797718235711198,39.899876480238845
22,-3.441346890424029,8,68.68652557527273,27.91797249224774
23,-3.4312904136095312,10,54.19881689843313,42.65373857469692
24,-4.267112586880103,8,24.511853395965947,34.72392077842841
25,-6.32655487471493,40,20.922357978681344,28.985920320073788
26,-4.74969733459875,32,38.6991522426675,26.259229649935563
27,-3.569376590894535,0,32.487142093925044,35.175377437475824
28,-2.240635313617531,2,25.647122677622896,36.11315827799113
29,-5.698580980973929,19,30.557402718880105,38.70825678610856
30,-3.222185024584178,0,52.728802476731516,44.8316223196603
31,-2.8726616888598073,9,102.06461292475329,31.21714251344095
32,-2.8764721833867952,5,21.292109592724323,32.26864330457084
33,-1.5546624776907265,3,58.26295448921123,27.478789389756948
34,-2.662776764424052,0,28.753471840639374,27.78479332731606
35,-2.5053816256986465,0,25.368990426444316,24.628067356253137
36,-1.8082376192323864,0,13.090371470746168,29.570569549952353
37,-3.220419039716944,0,23.544024469428877,28.921924489384665
38,-3.670780201733578,0,20.58204295265179,32.475478556942804
39,-8.596513541677268,34,37.330170815603374,39.52782183250828
40,-5.250137283699587,21,15.041366160488222,27.562423844084517
41,-2.644850061275065,2,29.40768917754973,33.81476407043573
42,-1.880686764838174,0,41.28935218041541,31.58038769824184
43,-2.1319774736257386,0,20.527711428634,26.766135981216667
44,-3.2774988261517137,0,19.01868820523823,28.807062253020394
45,-4.569972000725102,11,32.9965079672281,27.795880698814035
46,-4.267093882721383,8,37.91067758666858,36.58041034860722
47,-6.130883979029022,42,13.26608679137953,27.13706931243378
48,-3.1407517438055947,8,14.65656850461375,35.52026987573034
49,-3.5157928643238847,7,33.456324607772366,36.402622273716595
50,-2.989932053955272,0,19.251178714301073,33.53517584897962
51,-4.6258809310384095,10,64.42348684594937,32.83876367071244
52,-1.4447860275031417,1,89.60597258897094,32.38146042645553
53,-3.284196786029497,20,23.8237952088424,31.05881492329551
54,-5.166459677435341,30,21.696645435974663,27.992691961454835
55,-3.4607866586884484,5,21.25786452928967,30.19612957162341
56,-2.3920523003325798,2,23.68069726492723,27.486121902012346
57,-1.477596190137774,2,39.3779635036959,34.67066975824247
58,-3.1944828015984967,0,62.67441984978485,27.592781900306345
59,-4.226875571610435,16,32.131398958268996,34.929534416881
60,-7.289600574236829,48,11.556514517038673,27.391400479347183
61,-0.9067992667023645,0,51.78718024905734,30.58501389954578
62,-3.7792796024587005,1,28.411584971652495,33.95463716801634
63,-2.350747814460192,9,31.913470881408053,30.305885144391834
64,-2.820467031429871,1,38.280123530467094,30.46153138246112
65,-4.570003288608859,30,22.282352294403378,26.372313570552745
66,-3.083347310195677,3,18.97037781569321,27.57608906144949
67,-3.34641393146012,22,53.350584265495854,27.082597208296686
68,-2.632792122185492,0,18.252959692274803,27.47403356658807
69,-7.11440760968253,43,20.145106362208168,27.845204962809486
70,-3.6895052389591,0,25.516598253811228,28.060199769211238
