episode_number,total_reward,collisions,trajectory_distance,goal_distance
1,-32.95419438369572,8,55.11024706189326,32.733796678975715
2,-1.0512251125765033,0,56.907332763846235,31.478239042230324
3,-1.6156668350558903,0,56.17305618753008,47.00245404511829
4,-5.021548719611019,7,48.68639814807535,60.390384523201945
5,-6.425956291030161,28,28.862247969347084,50.13607245285217
6,-7.676275433885166,52,27.82625393489966,36.4921324434695
7,-7.550624917377718,40,32.97189771501884,40.666239476072946
8,-3.3085680186050013,20,46.80209044509339,44.211916020511325
9,-7.5087236851104535,54,45.157332072274805,66.04761813822297
10,-0.864418668880262,1,47.2115797740924,32.94805213260635
11,-4.074863309564535,29,30.806954370167638,41.32663783179497
12,-0.8876435274432879,0,42.93392058067756,35.90543730210416
13,-1.6625158349997946,1,44.41572144079276,48.44620618652923
14,-1.9328489545441698,7,42.271288780944,52.448053227281854
15,-2.56581002403982,0,34.663776052493375,50.78567773966247
16,-2.6917821150564123,7,94.54992880986961,60.927824822753166
17,-1.5003926286881324,0,29.15919594242363,51.06629406920951
18,-7.474923266650876,47,63.7634777003552,77.00260421794833
19,-4.316609968408557,15,124.45134811868584,49.89265122343655
20,-2.3024430078221485,1,85.41803810125118,49.81172935078034
21,-2.8856328629271957,14,42.70470868804096,56.30892156693542
22,-0.9251103847145714,0,94.34998290751764,32.42456131889068
23,-10.202603292360436,92,24.28312524970011,43.024298459533355
24,-1.1737798532194574,0,63.272541041208676,45.78339167172359
25,-0.7470883236674126,0,79.33490312182465,38.88488678050556
26,-2.22227807022864,1,32.532557338724715,46.978708689758385
27,-1.3746214581369713,2,26.38136455011168,35.80686650267301
28,-4.248351901536807,31,33.24750885721734,50.77769236288814
29,-2.191762750328053,6,39.68709557834859,48.05538222198721
30,-2.583783886337187,15,33.41177254054157,45.880261193719136
31,-1.80470959917875,8,53.90636424020504,32.080692176862435
32,-0.898692343816947,1,63.697223202122444,36.933506592794245
33,-1.0775558387394994,0,55.84321691681263,30.801753790633757
34,-6.716443116427399,54,18.678598294618663,40.837941569539986
35,-6.412802153216035,49,36.120910959179426,62.315068000681784
36,-1.3666760261257878,2,43.784291134314266,45.8845095613796
37,-1.7101574189873645,1,36.72192073775618,59.024903567930785
38,-7.455807368387468,59,34.54715115892391,57.163069551786485
39,-1.0093258274237087,0,98.17533215111281,25.782925920166498
40,-1.0213213039533002,0,42.39437687746102,47.95823599504746
41,-2.662060121048853,14,59.75393642016556,40.32060986956689
42,-2.846583480393747,12,70.3257613030156,51.01061812693564
43,-1.2790651874965988,0,68.41885028694367,33.3020882939953
44,-2.2687194269528845,4,48.693906075571206,42.642840990336886
45,-2.11497898993548,2,48.87078612979627,48.33412488642325
46,-3.5062240702754934,24,41.23054830594427,38.087590584375555
47,-2.416111955870292,5,59.11435059670078,60.41723022690461
48,-1.756335754005704,0,86.89574905809009,51.28728466032397
49,-1.6312284631567309,0,24.223580873847418,44.97480463222859
50,-1.6108546635805396,7,41.08354780340693,23.877652822387134
51,-1.214298196544405,0,38.05524907737564,37.76268098116333
